indicID,indicName,publishTime,periodDate,dataValue,unit,region,dataSource,updateTime
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2014-11-21 18:30:15","2014-11-22",2.6,"%",,"中国人民银行","2014-11-22 21:09:17"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2012-07-05 19:00:00","2012-07-06",2.6,"%",,"中国人民银行","2014-07-14 14:20:24"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2012-06-07 19:00:00","2012-06-08",2.85,"%",,"中国人民银行","2014-07-14 14:20:54"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2011-07-06 18:00:00","2011-07-07",3.1,"%",,"中国人民银行","2014-07-14 14:21:15"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2011-04-05 18:00:00","2011-04-06",2.85,"%",,"中国人民银行","2014-07-14 14:21:42"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2011-02-08 18:00:00","2011-02-09",2.6,"%",,"中国人民银行","2014-07-14 14:22:02"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2010-12-25 17:00:00","2010-12-26",2.25,"%",,"中国人民银行","2014-07-14 14:22:23"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2010-10-19 18:00:00","2010-10-20",1.91,"%",,"中国人民银行","2014-07-14 14:22:44"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2008-12-22 18:00:00","2008-12-23",1.71,"%",,"中国人民银行","2014-07-14 14:23:03"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2008-11-26 16:00:00","2008-11-27",1.98,"%",,"中国人民银行","2014-07-14 14:23:24"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2008-10-29 19:00:00","2008-10-30",2.88,"%",,"中国人民银行","2014-07-14 14:23:46"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2008-10-08 18:00:00","2008-10-09",3.15,"%",,"中国人民银行","2014-07-14 14:24:04"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2007-12-20 18:00:00","2007-12-21",3.33,"%",,"中国人民银行","2014-07-14 14:19:18"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2007-09-14 17:00:00","2007-09-15",2.88,"%",,"中国人民银行","2014-07-14 14:17:21"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2007-08-21 18:00:00","2007-08-22",2.61,"%",,"中国人民银行","2014-07-14 14:16:39"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2007-07-20 17:00:00","2007-07-21",2.34,"%",,"中国人民银行","2014-07-14 14:15:31"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2007-05-18 18:00:00","2007-05-19",2.07,"%",,"中国人民银行","2014-07-14 14:16:11"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2007-03-17 17:00:00","2007-03-18",1.98,"%",,"中国人民银行","2014-07-14 14:14:10"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2006-08-18 17:00:00","2006-08-19",1.8,"%",,"中国人民银行","2014-07-14 14:13:27"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2004-10-28 18:00:00","2004-10-29",1.71,"%",,"中国人民银行","2014-07-14 15:42:21"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","2002-02-20 18:00:00","2002-02-21",1.71,"%",,"中国人民银行","2014-07-14 15:44:52"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","1999-06-09 18:00:00","1999-06-10",1.98,"%",,"中国人民银行","2014-07-14 15:45:28"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","1998-12-06 18:00:00","1998-12-07",3.33,"%",,"中国人民银行","2014-07-14 15:45:59"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","1998-06-30 18:00:00","1998-07-01",3.96,"%",,"中国人民银行","2014-07-14 15:45:41"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","1998-03-24 18:00:00","1998-03-25",4.14,"%",,"中国人民银行","2014-07-14 15:46:11"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","1997-10-22 18:00:00","1997-10-23",4.14,"%",,"中国人民银行","2014-07-14 15:46:22"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","1996-08-22 18:00:00","1996-08-23",5.4,"%",,"中国人民银行","2014-07-14 15:46:35"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","1996-04-30 18:00:00","1996-05-01",7.2,"%",,"中国人民银行","2014-07-14 15:47:12"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","1993-07-10 18:00:00","1993-07-11",9,"%",,"中国人民银行","2014-07-14 15:47:24"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","1993-05-14 18:00:00","1993-05-15",7.2,"%",,"中国人民银行","2014-07-14 15:47:37"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","1991-04-20 18:00:00","1991-04-21",6.12,"%",,"中国人民银行","2014-07-14 15:47:49"
"M120000011","日_人民币存款基准利率(不定期)_定期存款利率_1年(零存整取,整存零取,存本取息)","1990-08-20 18:00:00","1990-08-21",7.2,"%",,"中国人民银行","2014-07-14 15:48:04"
