date,Ag:stock
2013-01-25,"56,775.00 "
2013-02-01,"56,670.00 "
2013-02-08,"56,430.00 "
2013-02-22,"55,425.00 "
2013-03-01,"56,460.00 "
2013-03-08,"57,360.00 "
2013-03-15,"56,160.00 "
2013-03-22,"50,850.00 "
2013-03-29,"47,670.00 "
2013-04-05,"45,825.00 "
2013-04-12,"48,330.00 "
2013-04-19,"46,815.00 "
2013-04-26,"43,185.00 "
2013-05-03,"42,135.00 "
2013-05-10,"57,975.00 "
2013-05-17,"40,140.00 "
2013-05-24,"45,465.00 "
2013-05-31,"65,175.00 "
2013-06-07,"71,205.00 "
2013-06-14,"75,300.00 "
2013-06-21,"72,840.00 "
2013-06-28,"56,070.00 "
2013-07-05,"65,940.00 "
2013-07-12,"50,145.00 "
2013-07-19,"28,575.00 "
2013-07-26,"35,790.00 "
2013-08-02,"48,615.00 "
2013-08-09,"28,485.00 "
2013-08-16,"33,885.00 "
2013-08-23,"36,540.00 "
2013-08-30,"32,520.00 "
2013-09-06,"48,915.00 "
2013-09-13,"18,510.00 "
2013-09-20,"20,370.00 "
2013-09-27,"13,440.00 "
2013-10-11,"35,490.00 "
2013-10-18,"44,505.00 "
2013-10-25,"64,830.00 "
2013-11-01,"62,340.00 "
2013-11-08,"83,895.00 "
2013-11-15,"44,340.00 "
2013-11-22,"49,785.00 "
2013-11-29,"46,290.00 "
2013-12-06,"46,320.00 "
2013-12-13,"60,960.00 "
2013-12-20,"72,180.00 "
2013-12-27,"85,260.00 "
2014-01-03,"82,935.00 "
2014-01-10,"75,300.00 "
2014-01-17,"127,530.00 "
2014-01-24,"138,720.00 "
2014-02-07,"154,995.00 "
2014-02-14,"152,190.00 "
2014-02-21,"169,350.00 "
2014-02-28,"159,435.00 "
2014-03-07,"155,595.00 "
2014-03-14,"148,200.00 "
2014-03-21,"140,880.00 "
2014-03-28,"115,650.00 "
2014-04-04,"98,550.00 "
2014-04-11,"73,950.00 "
2014-04-18,"81,180.00 "
2014-04-25,"76,575.00 "
2014-04-30,"76,170.00 "
2014-05-09,"67,350.00 "
2014-05-16,"75,885.00 "
2014-05-23,"74,145.00 "
2014-05-30,"67,260.00 "
2014-06-06,"69,330.00 "
2014-06-13,"77,760.00 "
2014-06-20,"67,485.00 "
2014-06-27,"58,350.00 "
2014-07-04,"52,155.00 "
2014-07-11,"52,515.00 "
2014-07-18,"73,530.00 "
2014-07-25,"90,930.00 "
2014-08-01,"93,690.00 "
2014-08-08,"75,000.00 "
2014-08-15,"69,540.00 "
2014-08-22,"74,520.00 "
2014-08-29,"78,150.00 "
2014-09-05,"86,115.00 "
2014-09-12,"92,130.00 "
2014-09-19,"67,065.00 "
2014-09-26,"90,750.00 "
2014-10-10,"92,535.00 "
2014-10-17,"87,840.00 "
2014-10-24,"101,190.00 "
2014-10-31,"114,285.00 "
2014-11-07,"80,040.00 "
2014-11-14,"103,155.00 "
2014-11-21,"87,510.00 "
2014-11-28,"85,620.00 "
2014-12-05,"81,405.00 "
2014-12-12,"90,075.00 "
2014-12-19,"108,510.00 "
2014-12-26,"103,410.00 "
2014-12-31,"107,490.00 "
2015-01-09,"142,425.00 "
2015-01-16,"130,875.00 "
2015-01-23,"191,835.00 "
2015-01-30,"274,065.00 "
2015-02-06,"262,815.00 "
2015-02-13,"261,060.00 "
2015-02-27,"282,060.00 "
2015-03-06,"293,310.00 "
2015-03-13,"280,515.00 "
2015-03-20,"246,660.00 "
2015-03-27,"260,430.00 "
2015-04-03,"263,970.00 "
2015-04-10,"257,985.00 "
2015-04-17,"212,280.00 "
2015-04-24,"215,325.00 "
2015-04-30,"179,700.00 "
2015-05-08,"170,670.00 "
2015-05-15,"153,375.00 "
2015-05-22,"220,935.00 "
2015-05-29,"261,615.00 "
2015-06-05,"284,820.00 "
2015-06-12,"286,080.00 "
2015-06-19,"274,965.00 "
2015-06-26,"296,910.00 "
2015-07-03,"314,505.00 "
2015-07-10,"283,950.00 "
2015-07-17,"223,710.00 "
2015-07-24,"162,510.00 "
2015-07-31,"166,725.00 "
2015-08-07,"139,395.00 "
2015-08-14,"152,100.00 "
2015-08-21,"205,560.00 "
2015-08-28,"227,880.00 "
2015-09-02,"225,105.00 "
2015-09-11,"261,045.00 "
2015-09-18,"286,920.00 "
2015-09-25,"297,915.00 "
2015-09-30,"334,860.00 "
2015-10-09,"342,405.00 "
2015-10-16,"360,195.00 "
2015-10-23,"365,985.00 "
2015-10-30,"376,395.00 "
2015-11-06,"385,995.00 "
2015-11-13,"384,780.00 "
2015-11-20,"393,900.00 "
2015-11-27,"406,590.00 "
2015-12-04,"424,875.00 "
2015-12-11,"409,320.00 "
2015-12-18,"406,440.00 "
2015-12-25,"496,845.00 "
2015-12-31,"489,645.00 "
2016-01-08,"501,000.00 "
2016-01-15,"465,135.00 "
2016-01-22,"406,620.00 "
2016-01-29,"406,350.00 "
2016-02-05,"411,000.00 "
2016-02-19,"410,010.00 "
2016-02-26,"418,170.00 "
2016-03-04,"402,090.00 "
2016-03-11,"372,060.00 "
2016-03-18,"435,150.00 "
2016-03-25,"444,435.00 "
2016-04-01,"435,735.00 "
2016-04-08,"441,630.00 "
