date,money multiplier
2001-03,4.10 
2001-06,4.30 
2001-09,4.25 
2001-12,3.96 
2002-03,4.00 
2002-06,4.21 
2002-12,4.11 
2003-03,4.43 
2003-06,4.77 
2003-09,4.64 
2003-12,4.23 
2004-03,4.59 
2004-06,4.65 
2004-09,4.58 
2004-12,4.29 
2005-03,4.56 
2005-06,4.84 
2005-09,4.71 
2005-12,4.67 
2006-03,4.93 
2006-06,5.12 
2006-09,5.03 
2006-12,4.43 
2007-03,4.73 
2007-06,4.55 
2007-09,4.46 
2007-12,3.97 
2008-03,4.06 
2008-06,3.84 
2008-09,3.87 
2008-12,3.68 
2009-03,4.27 
2009-06,4.59 
2009-09,4.39 
2009-12,4.11 
2010-03,4.35 
2010-06,4.37 
2010-09,4.32 
2010-12,3.92 
2011-03,3.94 
2011-06,3.84 
2011-09,3.71 
2011-12,3.79 
2012-03,3.95 
2012-06,4.06 
2012-09,4.00 
2012-12,3.86 
2013-03,4.08 
2013-06,4.09 
2013-09,4.09 
2013-12,4.08 
2014-03,4.22 
2014-06,4.32 
2014-09,4.21 
2014-12,4.18 
2015-03,4.31 
2015-06,4.62 
2015-09,4.86 
2015-12,5.04 
